Date/Time (Eastern),Top-of-the-Hour Air Temperature (C),Total Precipitation (mm),Average Solar Radiation (W/m2)

2020-05-17 00:00:00,19.1,0,0
2020-05-17 01:00:00,18.4,0,0
2020-05-17 02:00:00,17.4,0,0
2020-05-17 03:00:00,16.7,0,0
2020-05-17 04:00:00,16.2,0,0
2020-05-17 05:00:00,16.1,0,0
2020-05-17 06:00:00,16.8,0,0
2020-05-17 07:00:00,19,0,23.97
2020-05-17 08:00:00,20.2,0,284.2
2020-05-17 09:00:00,22.6,0,270.5
2020-05-17 10:00:00,24.7,0,797.8
2020-05-17 11:00:00,25.3,0,996
2020-05-17 12:00:00,26.1,0,1270
2020-05-17 13:00:00,27.2,0,311.6
2020-05-17 14:00:00,27.5,0,667.7
2020-05-17 15:00:00,27.1,0,256.8
2020-05-17 16:00:00,28.4,0,250
2020-05-17 17:00:00,27.7,0,708.8
2020-05-17 18:00:00,26.4,0,407.5
2020-05-17 19:00:00,25.4,0,78.75
2020-05-17 20:00:00,24.3,0,0
2020-05-17 21:00:00,23.1,0,0
2020-05-17 22:00:00,22.6,0,0
2020-05-17 23:00:00,21.4,0,0
2020-05-18 00:00:00,20.5,0,0
2020-05-18 01:00:00,19.4,0,0
2020-05-18 02:00:00,18.8,0,0
2020-05-18 03:00:00,18.2,0,0
2020-05-18 04:00:00,18,0,0
2020-05-18 05:00:00,17.8,0,0
2020-05-18 06:00:00,18.1,0,0
2020-05-18 07:00:00,18.7,0,51.36
2020-05-18 08:00:00,19.1,0,106.1
2020-05-18 09:00:00,18.9,0,160.9
2020-05-18 10:00:00,19.6,0,106.1
2020-05-18 11:00:00,22.4,0,325.3
2020-05-18 12:00:00,23.7,0,1133
2020-05-18 13:00:00,22.7,0,585.5
2020-05-18 14:00:00,23.7,0,243.1
2020-05-18 15:00:00,23.3,0,1092
2020-05-18 16:00:00,23.2,0,297.9
2020-05-18 17:00:00,22.9,0,243.1
2020-05-18 18:00:00,21.7,0,188.3
2020-05-18 19:00:00,20.1,0,78.75
2020-05-18 20:00:00,19.4,0,0
2020-05-18 21:00:00,19,0,0
2020-05-18 22:00:00,18.7,0.25,0
2020-05-18 23:00:00,18.7,1.02,0
2020-05-19 00:00:00,18.6,0,0
2020-05-19 01:00:00,18.4,0,0
2020-05-19 02:00:00,18.1,2.79,0
2020-05-19 03:00:00,18,0,0
2020-05-19 04:00:00,17.7,1.78,0
2020-05-19 05:00:00,17.8,4.32,0
2020-05-19 06:00:00,17.6,17.27,0
2020-05-19 07:00:00,17.6,0.51,0
2020-05-19 08:00:00,17.8,0.25,65.06
2020-05-19 09:00:00,17.8,0,188.3
2020-05-19 10:00:00,17.9,0,78.75
2020-05-19 11:00:00,17.1,0,119.8
2020-05-19 12:00:00,16.9,5.08,78.75
2020-05-19 13:00:00,16.5,1.52,92.4
2020-05-19 14:00:00,16.1,0,133.5
2020-05-19 15:00:00,15.8,0.25,78.75
2020-05-19 16:00:00,15.7,0.76,78.75
2020-05-19 17:00:00,15.4,0,65.06
2020-05-19 18:00:00,15.1,0,37.66
2020-05-19 19:00:00,14.8,0,23.97
2020-05-19 20:00:00,14.2,0.25,0
2020-05-19 21:00:00,13.4,0.51,0
2020-05-19 22:00:00,13.3,0,0
2020-05-19 23:00:00,12.9,0.25,0
2020-05-20 00:00:00,12.6,1.02,0
2020-05-20 01:00:00,12.2,1.02,0
2020-05-20 02:00:00,12.2,0.25,0
2020-05-20 03:00:00,12.2,1.27,0
2020-05-20 04:00:00,12.1,8.38,0
2020-05-20 05:00:00,12,3.3,0
2020-05-20 06:00:00,12,0,0
2020-05-20 07:00:00,12.3,0,37.66
2020-05-20 08:00:00,12.5,0,65.06
2020-05-20 09:00:00,12.8,0,65.06
2020-05-20 10:00:00,13.2,0,106.1
2020-05-20 11:00:00,13.4,0,243.1
2020-05-20 12:00:00,13.7,0,215.7
2020-05-20 13:00:00,14,0,174.6
2020-05-20 14:00:00,14.2,0,133.5
2020-05-20 15:00:00,14.7,0,119.8
2020-05-20 16:00:00,14.7,0,71.9
2020-05-20 17:00:00,14.9,1.02,37.66
2020-05-20 18:00:00,15.3,1.78,51.36
2020-05-20 19:00:00,15.6,2.54,23.97
2020-05-20 20:00:00,15.8,1.52,0
2020-05-20 21:00:00,15.8,0.76,0
2020-05-20 22:00:00,15.6,0,0
2020-05-20 23:00:00,15.1,0,0
2020-05-21 00:00:00,14.9,1.02,0
2020-05-21 01:00:00,15.1,1.27,0
2020-05-21 02:00:00,15.1,0.25,0
2020-05-21 03:00:00,15.9,1.27,0
2020-05-21 04:00:00,16.7,2.29,0
2020-05-21 05:00:00,17,1.02,0
2020-05-21 06:00:00,17,0.25,0
2020-05-21 07:00:00,17.4,2.29,0
2020-05-21 08:00:00,18.2,0.25,37.66
2020-05-21 09:00:00,19,1.78,71.9
2020-05-21 10:00:00,20.1,0.76,270.5
2020-05-21 11:00:00,20.1,0,366.3
2020-05-21 12:00:00,20.2,0,160.9
2020-05-21 13:00:00,20.1,0,160.9
2020-05-21 14:00:00,20.9,0,58.2
2020-05-21 15:00:00,20.3,0,78.74
2020-05-21 16:00:00,20.8,0.25,65.05
2020-05-21 17:00:00,20.7,0.25,147.2
2020-05-21 18:00:00,20.5,0,85.6
2020-05-21 19:00:00,20.7,0,37.66
2020-05-21 20:00:00,20.6,0,0
2020-05-21 21:00:00,20.4,0,0
2020-05-21 22:00:00,19.7,0,0
2020-05-21 23:00:00,18.6,0,0
2020-05-22 00:00:00,18,0,0
2020-05-22 01:00:00,16.9,0,0
2020-05-22 02:00:00,16.1,0,0
2020-05-22 03:00:00,15.6,0,0
2020-05-22 04:00:00,15.3,0,0
2020-05-22 05:00:00,14.9,0,0
2020-05-22 06:00:00,14.9,0,0
2020-05-22 07:00:00,15,0,51.36
2020-05-22 08:00:00,15.8,0,160.9
2020-05-22 09:00:00,18.9,0,284.2
2020-05-22 10:00:00,21.5,0,708.7
2020-05-22 11:00:00,23.9,0,859
2020-05-22 12:00:00,25.2,0,983
2020-05-22 13:00:00,26.4,0,921
2020-05-22 14:00:00,26.9,0,1037
2020-05-22 15:00:00,27.1,0,846
2020-05-22 16:00:00,27.8,0,790.9
2020-05-22 17:00:00,17.3,0,558.1
2020-05-22 18:00:00,17.3,14.99,0
2020-05-22 19:00:00,17.2,4.32,0
2020-05-22 20:00:00,16.9,0.51,23.97
2020-05-22 21:00:00,17,0,0
2020-05-22 22:00:00,17,0,0
2020-05-22 23:00:00,16.9,0,0
2020-05-23 00:00:00,16.9,0,0
2020-05-23 01:00:00,17.7,0,0
2020-05-23 02:00:00,18.1,1.02,0
2020-05-23 03:00:00,17.7,0.25,0
2020-05-23 04:00:00,17.6,0,0
2020-05-23 05:00:00,17.7,0,0
2020-05-23 06:00:00,17.7,0,0
2020-05-23 07:00:00,18.2,0,37.66
2020-05-23 08:00:00,18.7,0,106.1
2020-05-23 09:00:00,19.5,0,188.3
2020-05-23 10:00:00,20.5,0,243.1
2020-05-23 11:00:00,22.5,0,448.5
2020-05-23 12:00:00,24.2,0,393.7
2020-05-23 13:00:00,25.8,0,1058
2020-05-23 14:00:00,27.2,0,1106
2020-05-23 15:00:00,28.1,0,914
2020-05-23 16:00:00,28.2,0,777.2
2020-05-23 17:00:00,28.6,0,147.2
2020-05-23 18:00:00,28.8,0,380.1
2020-05-23 19:00:00,28,0,174.6
2020-05-23 20:00:00,23.8,0,37.66
2020-05-23 21:00:00,22.5,0,0
2020-05-23 22:00:00,22.2,0,0
2020-05-23 23:00:00,21.9,0,0
2020-05-24 00:00:00,21.4,0,0
2020-05-24 01:00:00,21.4,0,0
2020-05-24 02:00:00,20.7,0,0
2020-05-24 03:00:00,19.8,0,0
2020-05-24 04:00:00,19.5,0,0
2020-05-24 05:00:00,18.9,0,0
2020-05-24 06:00:00,20,0,0
2020-05-24 07:00:00,22.6,0,92.4
2020-05-24 08:00:00,24.9,0,284.2
2020-05-24 09:00:00,26.4,0,503.3
2020-05-24 10:00:00,27.7,0,599.2
2020-05-24 11:00:00,29.2,0,846
2020-05-24 12:00:00,29.4,0,935
2020-05-24 13:00:00,30.7,0,1024
2020-05-24 14:00:00,31.7,0,901
2020-05-24 15:00:00,28.4,0,1003
2020-05-24 16:00:00,28.5,0,229.4
2020-05-24 17:00:00,28.2,0,414.3
2020-05-24 18:00:00,26.4,0,106.1
2020-05-24 19:00:00,21.2,0,0
2020-05-24 20:00:00,21,0.76,0
2020-05-24 21:00:00,20.4,0.76,0
2020-05-24 22:00:00,20.4,0.51,0
2020-05-24 23:00:00,20,0,0
2020-05-25 00:00:00,19.6,0,0
2020-05-25 01:00:00,19.5,0,0
2020-05-25 02:00:00,19.5,0,0
2020-05-25 03:00:00,19.3,0,0
2020-05-25 04:00:00,19.1,0,0
2020-05-25 05:00:00,19,0,0
2020-05-25 06:00:00,19.1,0,0
2020-05-25 07:00:00,19.2,0,0
2020-05-25 08:00:00,18.7,0,65.06
2020-05-25 09:00:00,18.7,0,51.36
2020-05-25 10:00:00,18.6,0,92.4
2020-05-25 11:00:00,19.4,0,181.5
2020-05-25 12:00:00,20.6,0,174.6
2020-05-25 13:00:00,22.2,0,380.1
2020-05-25 14:00:00,22.8,0,551.3
2020-05-25 15:00:00,22.8,0,380.1
2020-05-25 16:00:00,23.8,0,311.6
2020-05-25 17:00:00,23.7,0,434.8
2020-05-25 18:00:00,22.7,0,208.9
2020-05-25 19:00:00,22.1,0,147.2
2020-05-25 20:00:00,21.2,0,23.97
2020-05-25 21:00:00,20.3,0,0
2020-05-25 22:00:00,19.7,0,0
2020-05-25 23:00:00,19.9,0,0
2020-05-26 00:00:00,20.1,0,0
2020-05-26 01:00:00,20,0,0
2020-05-26 02:00:00,20,0,0
2020-05-26 03:00:00,19.7,0,0
2020-05-26 04:00:00,19.2,0,0
2020-05-26 05:00:00,19.2,0,0
2020-05-26 06:00:00,19,0,0
2020-05-26 07:00:00,19.6,0,23.97
2020-05-26 08:00:00,20.9,0,133.5
2020-05-26 09:00:00,21.7,0,263.6
2020-05-26 10:00:00,22.6,0,489.6
2020-05-26 11:00:00,23,0,469.1
2020-05-26 12:00:00,22.6,0,339
2020-05-26 13:00:00,23.8,0,311.6
2020-05-26 14:00:00,23,0,448.5
2020-05-26 15:00:00,22.3,0,256.8
2020-05-26 16:00:00,22.3,0,133.5
2020-05-26 17:00:00,22.9,0,106.1
2020-05-26 18:00:00,22.1,0,256.8
2020-05-26 19:00:00,20.9,0,133.5
2020-05-26 20:00:00,20.2,0,23.97
